Source_A,Source_B
ELK1,BRCA1
PAFAH1B3,PAFAH1B1
DNAI1,PAFAH1B1
AR,BRCA1
NDEL1,PAFAH1B1
HSPH1,PAFAH1B1
NDE1,PAFAH1B1
RACGAP1,RND2
UBXN11,RND2
COL8A1,UBQLN4
FNBP1,RND2
YWHAE,ATXN1
UBQLN4,ATXN1
ANP32A,ATXN1
STAT1,BRCA1
PRSS2,SERPINA1
COPS2,IRF8
EP300,ING1
RBBP4,ING1
SAP30,ING1
KAT2B,ING1
RBP1,ING1
SIN3A,ING1
MCFD2,LMAN1
UBE2G1,UBE2G1
UBE3A,UBE2G1
EED,EZH2
PTPRD,PTPRS
KPNA2,BRCA1
PPFIA1,PTPRS
GAK,CCNG1
PTP4A1,PTP4A1
ATF7,PTP4A1
PPL,EVPL
RBBP8,BARD1
HDAC1,BRCA1
POLR2A,BARD1
FEZ1,BARD1
ZHX1,BARD1
ING5,BARD1
SMAD1,SMAD1
BTG2,SMAD1
PSMB4,SMAD1
XPO1,SMAD1
EP300,SMAD1
SMAD6,SMAD1
MED6,SMAD1
ZNF423,SMAD1
BARD1,BRCA1
ZEB2,SMAD1
HIPK2,SMAD1
SMURF2,SMAD1
TOB1,SMAD1
NEDD9,SMAD1
H2AFX,BRCA1
ZNF521,SMAD1
SMAD9,BTG2
CNOT7,BTG2
CNOT8,BTG2
PPFIA1,PTPRD
SGCG,SSPN
CTBP1,BRCA1
CITED2,TFAP2C
UBE2I,TFAP2C
MAP4K1,LCP2
LAT,LCP2
NBN,BRCA1
FYB,LCP2
LCP2,BLNK
PAG1,LCP2
PRAM1,LCP2
EP300,BRCA1
YEATS4,SMARCB1
XPO1,SMARCB1
SMARCA4,SMARCB1
PPP1R15A,SMARCB1
NEO1,NTN1
UNC5C,NTN1
ADORA2B,NTN1
MRAS,RALGDS
RIT1,RALGDS
CNKSR1,RALGDS
UBE2D1,UBE3A
UBE2D3,UBE3A
UBE2G2,UBE3A
UBE2L3,UBE3A
PGR,UBE3A
RBBP4,BRCA1
NAPA,NSF
NAPG,NSF
GOSR1,NSF
UBE2D3,BRCA1
VAPA,NSF
GABARAPL2,NSF
BAP1,BRCA1
PML,PML
DHX9,BRCA1
SMARCA4,BRCA1
NMI,BRCA1
UBE2L3,BRCA1
PXN,PPP2R5C
PPP2R1B,PPP2R5C
PPP2CA,PPP2R5C
RAD23B,PSMD4
RAD23A,PSMD4
NUB1,PSMD4
ID1,PSMD4
MYOC,MYOC
RBBP8,BRCA1
CHEK2,BRCA1
BRAP,BRCA1
ANGPT2,ANGPT1
EED,EZH1
GTF2I,GTF2I
PIAS2,GTF2I
PRKG1,GTF2I
ATF6,GTF2I
STAT3,PML
TUBA1A,PLA2G7
CKAP5,PTPRN2
ROCK1,LIMK2
ROCK1,PPP1R12A
POLR2K,BRCA1
ROCK1,DPYSL2
RND3,ROCK1
ZYX,VASP
FYB,VASP
PRKG1,VASP
APBB1IP,VASP
ANTXR1,BRCA1
NCBP2,EIF5
EIF4G1,EIF5
BIRC3,TRAF1
CASP8,TRAF1
TNFRSF9,TRAF1
RIPK2,TRAF1
TNFRSF11A,TRAF1
MDK,UBQLN4
CFLAR,TRAF1
TANK,TRAF1
TNFRSF18,TRAF1
MAP3K14,TRAF1
TNFRSF12A,TRAF1
TNFRSF19,TRAF1
TNFSF9,TRAF1
HIVEP3,TRAF1
POLR2A,BRCA1
SPOP,TRAF1
LMO4,BRCA1
YAP1,TEAD4
RAC1,STAU1
PABPN1,STAU1
HNRNPU,STAU1
DHX9,STAU1
IQGAP1,STAU1
DYNC1I1,STAU1
ROCK2,STAU1
STAU1,TUBB
SNAP23,STXBP2
STXBP3,STXBP2
ARNT,PML
STX2,STXBP2
STX3,STXBP2
GOPC,FZD5
MDC1,BRCA1
PXN,PTEN
UBE2L3,PTEN
MVP,PTEN
UBE2I,PTEN
MAGI3,PTEN
TFF1,TFF1
MAGI2,PTEN
ATIC,ATIC
SMARCA4,SMARCC1
SIN3A,SMARCC1
PBX1,MEIS1
COPS2,CUL5
COPS8,CUL5
TRIM28,TRIM28
TRIM24,TRIM28
CBX3,TRIM28
CBX5,TRIM28
COL17A1,DST
TRIM23,TRIM23
ITGB4,DST
TRIM29,TRIM23
TRIM27,TRIM23
FKBP4,GLMN
PHYH,PEX7
EIF4E,PML
CASP8,BID
APAF1,CASP8
PICALM,CASP8
IKBKB,CASP8
PEA15,CASP8
COL17A1,COL17A1
RIPK2,CASP8
CASP8,CFLAR
TNFRSF10A,CASP8
TNFRSF10B,CASP8
MAP3K14,CASP8
MAP4K4,CASP8
ITGA6,COL17A1
NOL3,CASP8
NOD1,CASP8
DEDD,CASP8
CASP8AP2,CASP8
RYBP,CASP8
BFAR,CASP8
ITGB4,COL17A1
CASP8,GRIA1
CASP8,PARP2
HIP1,HIP1
IFT57,HIP1
HIP1R,HIP1
KRT18,COL17A1
HIP1,TFAP2A
NCOA1,VDR
TRIM24,VDR
MED1,VDR
PPP2CA,VDR
KDM5A,VDR
ZBTB16,VDR
H2AFX,H2AFX
NBN,H2AFX
LAD1,COL17A1
ATM,H2AFX
ALG9,H2AFX
PPL,COL17A1
RERE,ECM1
GATA2,PML
CDK5,PPP1R2
GSK3B,PPP1R2
LMTK2,PPP1R2
C5,C5AR1
PPP1R9A,PPP1R2
GNAI2,C5AR1
CASP4,SERPINB9
MCM6,MCM6
MCM3,MCM6
GMNN,MCM6
CDT1,MCM6
MCM4,MCM6
CRLS1,MCM6
TNPO1,HIST2H2BE
SAP30,HIST2H2BE
DYRK2,HIST2H2BE
NAP1L4,HIST2H2BE
BRD7,HIST2H2BE
TBL1XR1,HIST2H2BE
KIFAP3,KIFAP3
RAP1GDS1,KIFAP3
XRCC4,LIG4
EPHB3,EPHB3
EFNB3,EPHB3
F11,SERPINA5
NR4A1,PML
ARNTL,CLOCK
PER3,CLOCK
ARNTL2,CLOCK
GNA13,ARHGEF1
PRKCSH,GANAB
RAC1,METAP2
S100A4,METAP2
PIAS1,CSRP2
DFFB,DFFA
RAC1,TRIO
RELA,PML
TRAF3,TRAF3
TNFRSF9,TRAF3
TNFRSF11A,TRAF3
TANK,TRAF3
TNFRSF18,TRAF3
NUP62,TRAF3
TNFRSF12A,TRAF3
TNFRSF19,TRAF3
TRAF3IP3,TRAF3
PTRF,ZNF148
PRDM1,IRF4
SPIB,IRF4
FKBP4,IRF4
SUMO1,NCOA1
DNMT3B,SUMO1
SUMO1,TRIM24
SENP6,SUMO1
HDAC9,SUMO1
SUMO1,HIPK2
SENP2,SUMO1
TOPORS,SUMO1
PIAS1,SUMO1
SUMO1,NFKBIA
SUMO1,ETV6
SUMO1,NCOA2
MFNG,JAG1
SKI,PML
ARFGAP1,COPA
TMED2,COPA
RAC1,ARHGDIA
ARHGDIA,RAC2
BCL2L11,BCL2L2
BMF,BCL2L2
NCOA3,NCOA3
EP300,NCOA3
SMARCE1,NCOA3
IKBKB,NCOA3
KAT2B,NCOA3
GTF2B,NCOA3
NPAS2,NCOA3
CDH3,CDH3
GNA13,S1PR3
CTNNA1,CDH3
MAP3K7,MAP4K1
BLNK,MAP4K1
CDC42BPA,LIMK2
CTNNB1,CDH3
RPH3AL,ZYX
VAV3,ZYX
NEBL,ZYX
NEDD9,ZYX
ENAH,ZYX
BSPRY,ZYX
PTK6,PTK6
KHDRBS1,PTK6
STAP2,PTK6
GGA2,SORL1
CD99,UBQLN4
GGA1,SORL1
NUP153,IPO5
NUP62,IPO5
MDM2,PML
WWP1,KLF2
IL16,PPP1R12A
ROCK2,PPP1R12A
DMPK,PPP1R12A
PRKG1,PPP1R12A
MPRIP,PPP1R12A
FKBP4,PHYH
TUBA4A,CALB2
ARHGDIB,RHOH
HIPK2,NKX3-1
SPDEF,NKX3-1
RASA1,ANXA6
RAC1,RAC1
PLD1,RAC1
PAK1,RAC1
IL1RAP,RAC1
ARHGDIB,RAC1
IQGAP1,RAC1
PAK2,RAC1
WASF1,RAC1
BAIAP2,RAC1
VAV3,RAC1
TNFRSF12A,RAC1
FHOD1,RAC1
FMNL1,RAC1
S100B,ANXA6
RALBP1,RAC1
DOCK2,RAC1
IQGAP2,RAC1
ICMT,RAC1
PARD6G,RAC1
RPS6KB1,RAC1
SYNJ2,RAC1
ARHGEF2,RAC1
DEF6,RAC1
DOCK8,RAC1
RAP1GDS1,RAC1
MCF2L,RAC1
CDC42SE1,RAC1
CDC42SE2,RAC1
RB1,PML
RCC2,RAC1
RAC1,PARD6B
ARHGDIB,RAC2
DOCK2,RAC2
ICMT,RAC2
DEF6,RAC2
AP1M2,GAK
KLF4,KLF6
DEFB1,RIF1
TMPRSS2,TMPRSS2
NRP2,NRP1
SEMA3A,NRP1
PLXNA1,NRP1
TNFRSF10A,DAP3
SMARCA5,SATB1
BAZ1A,SATB1
KCNK3,S100A10
PSMB2,PLK1
PSMB4,PLK1
MCM3,PLK1
PLK1,CHEK2
PSMA7,PLK1
CAPNS1,CAST
CLDN3,CLDN5
MPDZ,CLDN5
CAPN1,CAST
IL16,KCNJ15
CASP1,CAST
MLLT10,YEATS4
TACC2,YEATS4
TACC1,YEATS4
HNRNPU,NDN
PPP3CA,PPP3CA
NUCB2,NDN
SSRP1,CHD1
MAPK13,MAPKAPK3
MAPKAPK3,HSPB1
PRMT5,CLNS1A
TBL1XR1,CORO2A
BCL2,PPP3CA
SEC63,SEC62
DMPK,HSPB2
HSPB3,HSPB2
CLK4,HSPB2
PRKCZ,PPP3CA
EPHA4,EPHA4
EFNB3,EPHA4
NGEF,EPHA4
ARHGEF15,EPHA4
YWHAE,RGS3
MED23,ELF3
SH3D19,ADAM10
GABRB2,PPP3CA
SIAH1,SIAH1
TUBA1A,SIAH1
UBE2D1,SIAH1
KIF22,SIAH1
EIF3J,SIAH1
SLC9A3R2,SIAH1
CACYBP,SIAH1
KHDRBS3,SIAH1
PEG10,SIAH1
PPP3R1,PPP3CA
PEG10,SIAH2
MYB,PML
PPP3CA,RCAN1
ATM,EIF4EBP1
FKBP8,PPP3CA
RPS6KA5,EIF4EBP1
RPS6KB1,EIF4EBP1
LY86,CD180
CCL19,CCL19
RCAN2,PPP3CA
CASP4,APAF1
AVEN,APAF1
APIP,APAF1
FEM1B,APAF1
APAF1,NLRP1
SYNJ1,PPP3CA
CABIN1,PPP3CA
MYOZ3,PPP3CA
TNFSF9,TNFRSF9
TCF4,TCF4
MSC,TCF4
ID1,TCF4
TGFBR1,PML
NEDD4,NEDD4
SGK1,NEDD4
UBE2D2,NEDD4
UBE2D3,NEDD4
UBE2L3,NEDD4
CBLB,NEDD4
DAZAP2,NEDD4
PMEPA1,NEDD4
RNF11,NEDD4
LITAF,NEDD4
N4BP2,NEDD4
NDFIP1,NEDD4
NDFIP2,NEDD4
TNPO1,PABPN1
PRMT3,PABPN1
CABIN1,PPP3CC
S100A6,S100A6
EFNB3,EFNB3
ARSA,GAL3ST1
S100B,S100A6
KAT2A,IRF7
ATN1,WWP1
NFE2,WWP1
TP53BP2,WWP1
ATN1,WWP2
TP53BP2,WWP2
NDFIP2,WWP2
CACYBP,S100A6
TGFBR2,PML
ATXN3,ARHGAP19
SNAPC1,SNAPC3
NRGN,CALM1
SVIL,TGFB1I1
SDC4,TGFB1I1
HSPB1,TGFB1I1
GAB2,LAT
CD244,LAT
CALCA,CALCA
RAMP1,CALCA
MLLT6,UBQLN4
CALCRL,CALCA
TRAF5,TRAF5
MAP3K5,TRAF5
RIPK2,TRAF5
TNFRSF11A,TRAF5
TNFRSF19,TRAF5
WASL,WIPF1
UBE2I,RANGAP1
IPO8,RANGAP1
TP53,PML
NPTXR,NPTX1
CAPN1,CAPNS1
MRPL12,MRPL12
ITSN1,DNM1
SH3GL3,DNM1
CLIC3,DNM1
IL2RG,CAPNS1
CLIC4,DNM1
CABIN1,DNM1
FNBP1,DNM1
DNMBP,DNM1
PIAS1,DNM1
SHANK2,DNM2
CALM1,CALM1
SH3GLB1,DNM2
PLD1,PLD1
MYO5B,COIL
PIP5K1A,PLD1
PEA15,PLD1
ARIH1,PLD1
EGFR,CALM1
ESR1,CALM1
USP4,NOLC1
GTF2B,NOLC1
MAPK12,MAPK12
MAPK12,SH3BP5
EWSR1,CALM1
FAS,CALM1
MLLT10,MLLT10
MXD1,PML
HSP90AA1,CALM1
CFTR,CFTR
SNAP23,CFTR
PRKAA1,CFTR
DNAJA1,CFTR
SLC4A7,CFTR
SLC9A3R1,CFTR
TCF3,CALM1
SLC4A8,CFTR
SLC9A3R2,CFTR
GOPC,CFTR
DNAJC5,CFTR
PRKG1,CFTR
INSR,CALM1
SLIT2,ROBO1
SRGAP1,ROBO1
ROBO2,ROBO1
RAB11B,OPTN
SNAP23,ITSN1
WASL,ITSN1
SYNJ1,ITSN1
MAP3K5,MAP3K5
MAP3K3,MAP3K5
MAP3K7,MAP3K5
ERN1,MAP3K5
MAP3K6,MAP3K5
YWHAE,MAP3K5
DAB2IP,MAP3K5
MAP3K2,MAP3K5
MAPK8IP3,MAP3K5
PTPN21,AKAP1
SNCA,CALM1
DPYSL2,TUBB
SIGLEC7,TRAF4
RPS6KB1,TRAF4
CCND1,CALM1
ARFGAP1,CYTH2
KHDRBS1,KHDRBS1
DHX9,KHDRBS1
KHDRBS3,KHDRBS1
FNBP4,KHDRBS1
PDE1A,CALM1
WBP4,KHDRBS1
MAP3K7,NRIP1
CTBP1,NRIP1
KAT2B,NRIP1
NR1H3,NRIP1
GSK3B,FRAT1
PXN,PXN
PAK1,PXN
TRIP6,PXN
ASAP2,PXN
ITGA9,PXN
ARHGEF7,PXN
ASAP1,PXN
NF2,PXN
SDC4,PXN
PPP2CA,PXN
RYR1,CALM1
NEDD9,PXN
PARVA,PXN
CCNT1,CCNT1
HIC2,CCNT1
AFF4,CCNT1
HEXIM1,CCNT1
TTN,CALM1
ARL1,GOLGA4
MACF1,GOLGA4
RGS12,RGS12
PLCB1,RGS12
GNA13,RGS16
GDE1,RGS16
PLCB1,RGS4
MAPK14,PML
PDK2,PDK1
DLAT,PDK1
PDK2,PDK2
DLAT,PDK2
DLAT,PDK3
PDK4,PDK4
DLAT,PDK4
NOVA1,PCBP1
CNN1,CALM1
STX12,SNAP23
SCAMP1,SNAP23
STXBP5,SNAP23
KIF5B,SNAP23
STX6,SNAP23
STX11,SNAP23
MYLK,CALM1
STX3,SNAP23
GAB1,MAP3K3
ASCL2,CALM1
HSPA2,MAP3K3
SPAG9,MAP3K3
MYO9B,CALM1
TCF4,CALM1
GADD45G,PTPRK
ST8SIA4,ST8SIA4
MAP3K2,PKN2
EPAS1,ARNTL
CRY1,ARNTL
NPAS2,ARNTL
PER3,ARNTL
BHLHE40,ARNTL
XPO1,XPO1
NUP153,XPO1
OAT,UBQLN4
NUP50,XPO1
NUP62,XPO1
SMURF1,XPO1
NF2,XPO1
NMD3,XPO1
PHAX,XPO1
SVIL,P2RX7
EMP3,P2RX7
RAB33B,GOLGA2
PPP2CA,GOLGA2
USO1,GOLGA2
SERPINE1,UBQLN4
TMED2,GOLGA2
PAK1,PAK1
ARHGEF7,PAK1
PAK1,NF2
PAK1IP1,PAK1
RHOJ,PAK1
PPM1F,PAK1
PAK1,ARHGEF2
PIK3R4,PIK3C3
PIK3C3,CALM1
MAPRE1,PIK3R4
SMAD6,MAP3K7
SMAD7,MAP3K7
MAP3K7,SMAD3
MAP3K7,IKBKB
TNFRSF11A,MAP3K7
MAP3K14,MAP3K7
MAP4K4,MAP3K7
NCOR1,PML
PCBP1,PCBP2
NAIP,MAP3K7
PPM1L,MAP3K7
CTBP1,CTBP1
CTBP2,CTBP1
TGIF1,CTBP1
IKZF1,CTBP1
YWHAE,CALM1
PNN,CTBP1
ZFPM2,CTBP1
HIC1,CTBP1
RBBP8,CTBP1
HDAC9,CTBP1
KLF12,CTBP1
SIN3A,CTBP1
FOXP1,CTBP1
CBX4,CTBP2
PNN,CTBP2
ZFPM2,CTBP2
SOX6,CTBP2
ZFPM1,CTBP2
KLF3,CTBP2
LYST,CALM1
LGMN,LGMN
PGR,FKBP5
ATN1,MAGI1
NET1,MAGI1
TP53BP2,MAGI1
SYNPO,MAGI1
IL18R1,IL1RAP
TOLLIP,IL1RAP
SLC9A3R2,PODXL
SELL,PODXL
FHL2,FHL2
ITGA3,FHL2
FHL5,FHL2
SFPQ,FHL2
ZNF638,FHL2
KCNQ3,CALM1
ZBTB16,FHL2
REV1,FHL2
CARD8,FHL2
ITGA3,TSPAN4
HDAC1,PML
CALM1,IQGAP2
PCBP1,UGP2
MTA1,MNAT1
CDK7,MNAT1
NOD1,CASP4
RAD50,NBN
CHEK2,NBN
ATM,NBN
RND3,ARHGAP5
SGK1,FOXO3
SMAD3,FOXO3
MLX,MAD1L1
SIN3A,MAD1L1
SIN3B,MAD1L1
AURKA,AURKA
CDC20,AURKA
UBE2N,AURKA
TPX2,AURKA
NIN,AURKA
TACC1,AURKA
CKAP5,AURKA
NCOA1,NCOA1
EP300,NCOA1
SMARCE1,NCOA1
PPARGC1A,NCOA1
KAT2B,NCOA1
PGR,NCOA1
RARB,NCOA1
GTF2B,NCOA1
CARM1,NCOA1
DDX17,NCOA1
MCM5,MCM3
MCM4,MCM3
CDC7,MCM3
DBF4,MCM3
HAUS1,MCM3
CDC7,MCM5
MAPK9,NFATC3
MDM4,EP300
HNRNPU,EP300
EP300,KLF5
SMAD7,EP300
CITED2,EP300
KAT2B,EP300
EPAS1,EP300
EID1,EP300
TGS1,EP300
SIRT1,EP300
GATA6,EP300
UBE2I,EP300
NPAS2,EP300
SS18L1,EP300
N4BP2,EP300
TRERF1,EP300
ING5,EP300
JDP2,EP300
EID2,EP300
UBE2D1,MDM4
SMAD3,MDM4
NECAB3,APBA2
SNX9,ADAM9
SH3GLB1,ADAM9
SH3D19,ADAM9
SUMO1,PML
TNPO3,TRA2B
SKAP1,FYB
SKAP2,FYB
ENAH,FYB
EPB41L1,ARHGAP1
BNIP2,ARHGAP1
TAX1BP1,ARHGAP1
KIF1B,ARHGAP1
HSP90AB1,ARHGAP1
BNIPL,ARHGAP1
ATP5G3,ATP5G3
IGFBP7,CCL21
PRKAB2,PRKAA1
CAB39,PRKAA1
PRKAG2,PRKAB1
PRKAG2,PRKAB2
KCNN4,CALM1
DNMT3B,DNMT3A
UBE2I,DNMT3A
PIAS1,DNMT3A
REV1,REV3L
CALD1,CALM3
EGFR,CALM3
PTTG1,DNAJA1
LSM2,DNAJA1
ESR1,CALM3
PIK3R2,PIK3CD
TCF3,CALM3
INSR,CALM3
RGS10,CALM1
RACGAP1,CHN2
CDC16,BUB1B
CDC20,BUB1B
BUB3,BUB1B
ANAPC7,BUB1B
CDT1,CDC5L
PLRG1,CDC5L
CCNT1,PML
YAP1,HNRNPU
PPHLN1,PPL
OCLN,OCLN
TJP2,OCLN
PCBP1,PDLIM7
TJP3,OCLN
STARD13,EPB41L1
PCBP1,QKI
PCBP2,QKI
KLRD1,KLRD1
MAPK9,BCL2L11
PRKD1,MAPK9
ATF7,MAPK9
DUSP16,MAPK9
MAPK8IP3,MAPK9
MAPK9,SH3BP5
MAPK9,JDP2
PML,AURKA
CBX5,DNMT3B
UBE2I,DNMT3B
TNPO1,TNPO1
NUP153,TNPO1
ELAVL1,TNPO1
PGR,KLF9
SET,KLF5
MAPK6,MAPK6
CLDN1,CLDN3
PLK3,CHEK2
GSK3B,RCAN1
SAP30,RBBP4
MTA1,RBBP4
RBP1,RBBP4
SIN3A,RBBP4
ASCL2,CALM3
UBXN11,RND3
USO1,STXBP1
STX2,STXBP1
STX3,STXBP1
SMAD7,SMAD6
SMURF1,SMAD6
SMAD7,SMAD7
HAT1,SMAD7
PARD3,SMAD7
SMURF2,SMAD7
SMURF1,SMAD7
YAP1,SMAD7
STAMBPL1,SMAD7
PDLIM4,TRIP6
RERE,TRIP6
NUP210,TRIP6
THRB,TRIP6
TPM4,TRIP6
TCF4,CALM3
PPIC,UBQLN4
IKZF1,SAP18
SRGN,UBQLN4
HEY1,HEY1
FANCF,FANCG
NEK6,SGK1
SGK1,NEDD4L
SLC9A3R2,SGK1
PDK2,SGK1
UBE2D2,UBE2D2
AMFR,UBE2D2
PJA2,UBE2D2
MLXIP,MLX
PRPF40A,SRPK2
UBE2N,UBE2V2
ELAVL1,TNPO2
CDH19,CDH6
PRNP,PSMA3
ACTL6A,TRRAP
SMARCA4,IKZF1
RBBP8,IKZF1
IKZF2,IKZF1
IKZF4,IKZF1
GTF2B,IKZF1
SIN3A,IKZF1
PSAP,ZBED1
SIN3B,IKZF1
SMARCA4,ARID1A
EHD2,PICALM
LY96,TLR2
TOLLIP,TLR2
TLR3,TLR3
LY96,TLR4
TOLLIP,TLR4
IL16,IL16
PPP1R12B,IL16
ABI1,ABI1
PAK2,ABI1
WASF1,ABI1
WASF2,ABI1
CYFIP2,ABI1
NIN,ABI1
KCNQ3,CALM3
ENAH,ABI1
TRIM24,PML
KIF1C,KIF1C
PTPN21,KIF1C
YWHAE,KIF1C
PPP1R9B,TGOLN2
AP1M2,TGOLN2
TGOLN2,PPP1R9A
PAFAH1B3,PAFAH1B3
ABCG1,ABCG1
UBE2I,CBX4
PTGDS,ATXN1
QSOX1,UBQLN4
PZP,CPB2
SMAD3,SMAD3
ATF3,SMAD3
CDC16,SMAD3
ZEB2,SMAD3
SMURF2,SMAD3
TOB1,SMAD3
NEDD9,SMAD3
DACH1,SMAD3
MAGI2,SMAD3
EID2,SMAD3
ZEB2,SMAD5
TOB1,SMAD5
NCOA2,SMARCE1
CACYBP,S100A12
AKAP9,PPP2R1B
PPP2R2A,PPP2R1B
DHX9,DHX9
POLR2A,DHX9
AKAP8L,DHX9
AMFR,UBE2G2
PPFIBP1,PPFIBP1
PPFIA1,PPFIBP1
S100A4,PPFIBP1
PPFIA1,PPFIBP2
PTPRN2,UBQLN4
ATF3,ATF3
HUS1,RAD1
FGFR2,CACNA1D
DNAJC7,RAD1
SRRM2,PNN
PRPF4B,PNN
STX1A,CACNA1D
PPIG,PNN
SOCS6,PIK3R2
YAP1,TEAD3
CPNE2,UBE2M
NUP153,XPOT
XPO7,XPOT
RAD23A,UBQLN4
POLR2A,CDK8
CDK8,CCNH
CDK1,CALD1
HIST1H1C,NASP
SHC1,CALD1
CALD1,CALM1
PPP2CA,CCNG2
STX7,VTI1B
RAD23A,ATXN7
STX7,NAPA
GOSR2,NAPA
STX12,NAPA
ITGB1,CANX
STX6,STX7
SNAP29,STX7
BMPR1B,BMPR1B
SLC2A1,CANX
CBX5,SMARCA4
ACTL6A,SMARCA4
PBRM1,SMARCA4
ARID1B,SMARCA4
BRWD1,SMARCA4
GRIA1,CANX
CFLAR,IKBKB
TANK,IKBKB
EIF2AK3,IKBKB
ITGA6,CANX
MAP3K13,IKBKB
HIPK2,TP63
PPP1R13B,TP63
CD3D,CANX
IKZF4,CHD4
XRN1,CHD4
TRIM27,CHD4
HHEX,PML
BAIAP2,SHANK2
ARHGEF7,SHANK2
BNIP2,BNIPL
TOB1,SMAD9
SIN3A,KLF11
TNKS2,TNKS
POT1,TNKS
MCL1,TNKS
FNBP1,TNKS
TF,CANX
IRAK3,IRAK2
BFSP1,BFSP1
PRKG1,PDE5A
PPP1R9A,PPP1R9B
RCN1,ATXN1
SLC4A7,SLC4A4
CDCA8,BIRC5
MBTPS1,MBTPS1
PDCD6IP,SH3GL3
SYNJ1,SH3GL3
SH3D19,SH3GL3
BAG4,TNFRSF25
TNFSF15,TNFRSF25
F8,CANX
CDKN2C,CDK6
CNOT7,CDK6
CDC37,CDK6
NUP155,GLE1
PMP22,CANX
RAD21,SMARCA5
BAZ2A,SMARCA5
BAZ1A,SMARCA5
RBP1,SAP30
SENP2,PML
SIN3A,SAP30
CLIC5,IQGAP1
PRKCSH,CANX
IQGAP1,CALM1
BAIAP2,LIN7A
MPP5,LIN7A
FLNB,FLNB
FBLIM1,FLNB
PDIA3,CANX
TRIM24,TRIM24
CBX3,TRIM24
TAF1B,TRIM24
TAF1C,TRIM24
CFTR,CANX
PGR,TRIM24
TRIM33,TRIM24
TAF11,TRIM24
SFRP1,FZD6
MBTPS1,CANX
SCOC,ARL1
TIMELESS,PER2
CRY1,PER2
PER3,PER2
CFLAR,RIPK2
NOD2,RIPK2
NOD1,RIPK2
CARD16,RIPK2
CDC20,CDC16
SLAMF1,SLAMF1
DPM3,DPM1
DKK1,LRP5
DKK1,LRP6
DKK2,LRP6
NFKBIA,CAPN1
FASTK,TIA1
STAT5B,NMI
LSM4,NMI
CCNH,MTA1
AP1S1,AP1S1
AP1G1,AP1S1
AP1G2,AP1S1
AP1M2,AP1S1
AP1G1,AP1S2
AP1G2,AP1S2
CAPN1,SPTAN1
RABEP1,AP1G1
CLINT1,AP1G1
AP1M2,AP1G1
RABGEF1,AP1G1
RABEP1,AP1G2
XRN1,AP1G2
PAWR,PML
CAPN1,TP53
CAPN1,BCL2L1
INPP4A,CAPN1
CAPN1,BID
TRIM8,SOCS1
TNFRSF10A,TNFSF10
TNFRSF10B,TNFSF10
TNFRSF10C,TNFSF10
TNFRSF10D,TNFSF10
TNFRSF10B,CFLAR
DEDD,CFLAR
PLA2G4C,PLA2G4C
CAPN1,GNG12
RABEP1,RABEP1
RAB33B,RABEP1
GGA2,RABEP1
HUNK,RABEP1
RABGEF1,RABEP1
CAPN1,SPTBN1
GGA1,RABEP1
CDC20,CDC20
PTTG1,CDC20
FBXO5,CDC20
SOSTDC1,CDC20
ROBO2,UBQLN4
PTTG1,RPS10
RORA,LMO3
SH3D19,ADAM17
STX16,VAMP3
STX3,VAMP3
VAMP4,STX16
STX6,STX16
VPS45,STX16
CBFA2T3,CBFA2T2
SIN3A,CBFA2T2
RPS15A,RPS15A
TMEM189-UBE2V1,UBE2N
CLDN1,CLDN1
TJP2,CLDN1
MPDZ,CLDN1
TJP3,CLDN1
PARP2,BUB3
ARIH1,UBE2L3
NEDD4L,UBE2L3
RNF19A,UBE2L3
RNF144A,UBE2L3
RPS6KC1,SPHK1
SIN3A,PML
TTN,CAPN3
SLIT3,ROBO2
SLIT2,SLIT2
ROBO2,SLIT2
DNAJC7,HUS1
CSNK2A1,CASQ2
PPP1CB,PPP1R12B
USP49,MED17
BCL2L11,BCL2L11
VDAC1,BCL2L11
MCL1,BCL2L11
RANBP9,RANBP9
HIPK2,RANBP9
MPHOSPH8,RANBP9
RPH3AL,RAB27A
SYTL4,RAB27A
SYTL5,RAB27A
MLPH,RAB27A
SYTL2,RAB27A
SYTL1,RAB27A
SYTL3,RAB27A
RPH3AL,RAB27B
MLPH,RAB27B
UNC13D,RAB27B
RAB27B,SYTL4
CBFA2T3,CBFA2T3
TROAP,BYSL
MAPKAPK2,BAG2
HSPB8,BAG3
CRY1,TIMELESS
TIPIN,TIMELESS
TYROBP,SIRPB1
MAP4K5,TANK
EIF2AK3,EIF2S1
PPP1R15A,EIF2S1
GNAI1,CNR1
EIF3J,EIF3J
EIF3B,EIF3J
GNA15,CNR1
GNAI2,CNR1
EIF4B,EIF4B
GPHN,GPHN
CRIP2,ATN1
GNAI3,CNR1
ENAH,GPHN
NUP153,NUP153
NUP62,NUP153
XPO7,NUP153
XPO5,NUP153
SENP2,NUP153
TPR,NUP153
ITGA9,ITGA9
TNFSF13B,TNFSF13B
TNFSF13,TNFSF13B
FNBP1,AKAP9
AKAP9,PPP2R3A
PARD3,PNMA1
PARD6B,PNMA1
GSK3B,AXIN2
ANKRD6,AXIN2
GABARAPL2,GOSR1
GOSR1,NAPA
CYB5A,SCD
ATXN1,UBE2E3
EEA1,RAB5C
RIN3,RAB5C
RIN2,RAB5C
ATXN1,IPO8
RAD50,RINT1
ATXN1,ARID5A
PRMT5,PRMT5
TPD52L1,TPD52
MAL2,TPD52
ZBTB16,PML
ATXN1,BTG3
